Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
YI,"111, Inc.",7.91,102095912.45,12907195.0,2018.0,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",5.63,33851861.32,,2014.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",25.25,17675000.0,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,1.91,59442183.42,,,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,
FLWS,"1-800 FLOWERS.COM, Inc.",18.26,1174444068.82,,1999.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.4,45840763.8,,2019.0,Finance,Banks,https://www.nasdaq.com/symbol/bcow,
FCCY,1st Constitution Bancorp (NJ),18.66,160993031.28,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,43.76,1123229623.28,,,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",7.15,445287192.35,62277929.0,2011.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",37.99,2396364295.82,,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,
QFIN,"360 Finance, Inc.",16.07,49817000.0,3100000.0,2018.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,
JOBS,"51job, Inc.",70.35,2511851604.15,35705069.0,2004.0,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,
JFK,8i Enterprises Acquisition Corp,9.86,56695000.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfk,
JFKKR,8i Enterprises Acquisition Corp,0.2,0.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkr,
JFKKU,8i Enterprises Acquisition Corp,10.16,50800000.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfkku,
JFKKW,8i Enterprises Acquisition Corp,0.1399,804425.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkw,
EGHT,8x8 Inc,24.13,2323414141.58,,,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,
AAON,"AAON, Inc.",45.39,2365511696.79,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,
ABEO,Abeona Therapeutics Inc.,5.44,267441535.68,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,
ABEOW,Abeona Therapeutics Inc.,1.36,0.0,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,
ABIL,Ability Inc.,1.3,10450779.3,,2014.0,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,
ABMD,"ABIOMED, Inc.",261.92,11819069019.68,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,0.9551,160809213.7531,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,
